run_ts_utc,experiment_name,report,split,model,group_type,group_value,selector_status,edge_threshold,min_probability,min_odds,max_odds,matches,bets,coverage,wins,hit_rate,avg_prob,avg_edge,avg_odds,avg_clv_pct,invested,returned,profit,roi
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,odds_bucket,1.50-2.00,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,1,0.0636,0,0.0,0.726729,0.150433,1.583,12.2715,0.05,0.0,-0.05,-100.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,odds_bucket,2.00-3.00,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,49,3.1151,22,44.898,0.473222,0.173054,2.4935,-1.6661,1.436884,1.602993,0.16611,11.5604
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,odds_bucket,3.00-5.00,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,21,1.335,6,28.5714,0.380593,0.237542,3.2539,5.3191,0.539856,0.572663,0.032808,6.0771
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,edge_bucket,>15%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,71,4.5137,28,39.4366,0.449395,0.191809,2.7056,0.5962,2.02674,2.175657,0.148917,7.3476
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,confidence_bucket,35-45%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,41,2.6065,15,36.5854,0.40758,0.200603,2.969,6.9104,1.044733,1.119217,0.074484,7.1294
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,confidence_bucket,45-55%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,29,1.8436,13,44.8276,0.49895,0.180804,2.372,-8.7333,0.932006,1.05644,0.124434,13.3512
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,test,meta,confidence_bucket,>65%,validation_locked_positive_fold_roi,0.15,0.35,1.01,10.0,1573,1,0.0636,0,0.0,0.726729,0.150433,1.583,12.2715,0.05,0.0,-0.05,-100.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,all,all,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,58,3.3105,17,29.3103,0.263654,0.115026,4.2772,8.5611,0.516535,0.642896,0.126361,24.4631
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,league,england,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,3,0.1712,1,33.3333,0.259341,0.105296,4.27,2.4424,0.024197,0.034866,0.010669,44.0929
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,league,france,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,2,0.1142,1,50.0,0.229402,0.10832,4.835,12.2253,0.014136,0.034086,0.019951,141.1389
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,league,germany,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,3,0.1712,1,33.3333,0.267265,0.116711,4.1833,8.9563,0.027517,0.037015,0.009499,34.5191
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,league,italy,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,15,0.8562,2,13.3333,0.258555,0.109193,4.336,4.6482,0.124997,0.075889,-0.049107,-39.287
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,league,spain,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,35,1.9977,12,34.2857,0.267856,0.118599,4.2289,10.5193,0.32569,0.46104,0.13535,41.5579
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,pick,A,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,52,2.968,16,30.7692,0.263564,0.115191,4.2842,8.9041,0.463566,0.605881,0.142315,30.6999
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,pick,D,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,6,0.3425,1,16.6667,0.264432,0.1136,4.2167,5.5884,0.052969,0.037015,-0.015954,-30.1193
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,odds_bucket,2.00-3.00,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,1,0.0571,1,100.0,0.367271,0.101812,3.0,4.1667,0.012727,0.03818,0.025453,200.0
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,odds_bucket,3.00-5.00,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,57,3.2534,16,28.0702,0.261836,0.115258,4.2996,8.6382,0.503809,0.604717,0.100908,20.0289
2026-05-11T13:33:06.675197+00:00,final_market_xg_comparison,validation_locked_selector,validation,logreg,edge_bucket,10-15%,validation_locked_positive_fold_roi,0.1,0.0,1.2,5.0,1752,55,3.1393,16,29.0909,0.264334,0.112582,4.2578,8.762,0.483353,0.589926,0.106573,22.0486
