run_ts_utc,experiment_name,model,group_type,group_value,bets,wins,hit_rate,avg_odds,invested,returned,profit,roi
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,season,2025-2026,1192,416,34.8993,3.4368,19.345574,19.217556,-0.128018,-0.6617
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,england|2025-2026,272,93,34.1912,3.3616,4.296392,4.115013,-0.18138,-4.2217
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,france|2025-2026,210,72,34.2857,3.2898,3.405164,3.313532,-0.091631,-2.691
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,germany|2025-2026,200,73,36.5,3.2265,3.053668,3.036284,-0.017384,-0.5693
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,italy|2025-2026,263,100,38.0228,3.7281,4.580937,5.082784,0.501847,10.9551
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,logreg,league_season,spain|2025-2026,247,78,31.5789,3.5047,4.009413,3.669943,-0.33947,-8.4668
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,all,all,1029,299,29.0573,4.0264,16.331564,16.661478,0.329914,2.0201
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,england,246,77,31.3008,4.0373,3.886403,4.558601,0.672198,17.2961
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,france,173,42,24.2775,4.0123,2.87831,2.569643,-0.308666,-10.7239
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,germany,193,58,30.0518,3.6916,3.258265,3.024248,-0.234017,-7.1823
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,italy,209,69,33.0144,4.343,3.26329,3.583406,0.320116,9.8096
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league,spain,208,53,25.4808,4.0176,3.045297,2.92558,-0.119717,-3.9312
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,season,2025-2026,1029,299,29.0573,4.0264,16.331564,16.661478,0.329914,2.0201
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,england|2025-2026,246,77,31.3008,4.0373,3.886403,4.558601,0.672198,17.2961
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,france|2025-2026,173,42,24.2775,4.0123,2.87831,2.569643,-0.308666,-10.7239
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,germany|2025-2026,193,58,30.0518,3.6916,3.258265,3.024248,-0.234017,-7.1823
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,italy|2025-2026,209,69,33.0144,4.343,3.26329,3.583406,0.320116,9.8096
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,mlp,league_season,spain|2025-2026,208,53,25.4808,4.0176,3.045297,2.92558,-0.119717,-3.9312
2026-04-27T12:58:14.029499+00:00,final_market_xg_comparison,ensemble,all,all,0,0,0.0,0.0,0.0,0.0,0.0,0.0
